id,title,source_url,source_path,file_path,duration,sample_rate,channels,checksum,genre,daw_file,daw_metadata_path
andygrvcia_onna_leash_Ebm_99,Andygrvcia Onna Leash Ebm 99,,D:\project\manipulate-audio\data\originals\andygrvcia_onna_leash_Ebm_99.wav,data\originals\andygrvcia_onna_leash_Ebm_99.wav,164.85877551020408,44100,1,4175de84b6b5e5b39cdfed9686e29d6e31ab5502556fb3de9e9d5bfab5a5a969,test,,
CLUE__AINT_GON_TELL_YA_TWICE_GMIN_140,Clue  Aint Gon Tell Ya Twice Gmin 140,,D:\project\manipulate-audio\data\originals\CLUE__AINT_GON_TELL_YA_TWICE_GMIN_140.wav,data\originals\CLUE__AINT_GON_TELL_YA_TWICE_GMIN_140.wav,69.32589569160997,44100,1,7b173e857e68dcb2e3b722d4a10dbda6ea592206bfc2cd5bbd5e92cda1f4f4d6,test,,
CLUE__DARK_TIMES_CMIN_140,Clue  Dark Times Cmin 140,,D:\project\manipulate-audio\data\originals\CLUE__DARK_TIMES_CMIN_140.wav,data\originals\CLUE__DARK_TIMES_CMIN_140.wav,164.57589569161,44100,1,b709d99b7be77f556b4f614dfd9257ec6dc782f6fc89daa6e87a71285f4a67e9,test,,
DonKody_Back_It_Up_GMin_100,Donkody Back It Up Gmin 100,,D:\project\manipulate-audio\data\originals\DonKody_Back_It_Up_GMin_100.wav,data\originals\DonKody_Back_It_Up_GMin_100.wav,144.59997732426305,44100,1,93872b0e92acae20cde08e691240484249e4ce67f22d2e67fc910912d56b5a84,test,,
DonKody__SlowJam_Bbm_98,Donkody  Slowjam Bbm 98,,D:\project\manipulate-audio\data\originals\DonKody__SlowJam_Bbm_98.wav,data\originals\DonKody__SlowJam_Bbm_98.wav,176.26897959183674,44100,1,6dd10ee22daa50655aee66df9d1c30c5e1b43e8b0a15c3ed8545e8922f96f524,test,,
Future_x_Travis_Scott_Type_Beat_last_summer,Future X Travis Scott Type Beat Last Summer,,D:\project\manipulate-audio\data\originals\Future_x_Travis_Scott_Type_Beat_last_summer.wav,data\originals\Future_x_Travis_Scott_Type_Beat_last_summer.wav,177.2669387755102,44100,1,26c9d2e699b5115255abff3e706480c2b1fb62afba20801cdd827e57622981be,test,,
Gunna_x_MetroBoomin_Type_Beat_hard_time_ahead,Gunna X Metroboomin Type Beat Hard Time Ahead,,D:\project\manipulate-audio\data\originals\Gunna_x_MetroBoomin_Type_Beat_hard_time_ahead.wav,data\originals\Gunna_x_MetroBoomin_Type_Beat_hard_time_ahead.wav,155.71591836734694,44100,1,062b63760d43f0e682ff1628dd15a05f8354632d51c932fefa9c440be663b468,test,,
Gunna_x_Wheezy_Type_Beat_overload,Gunna X Wheezy Type Beat Overload,,D:\project\manipulate-audio\data\originals\Gunna_x_Wheezy_Type_Beat_overload.wav,data\originals\Gunna_x_Wheezy_Type_Beat_overload.wav,153.65224489795918,44100,1,6324ceece2f1f0e69a049c5ba01b7b536a1c49806df35ce7a4588c17242ed4bd,test,,
Lil_Uzi_Vert_x_Nav_Type_beat_back_it_up,Lil Uzi Vert X Nav Type Beat Back It Up,,D:\project\manipulate-audio\data\originals\Lil_Uzi_Vert_x_Nav_Type_beat_back_it_up.wav,data\originals\Lil_Uzi_Vert_x_Nav_Type_beat_back_it_up.wav,206.83755102040817,44100,1,3f5f948bff18e1f5936cb554f7ec2bac495cd49679b1a7367a5a1c2aca44a461,test,,
ThaRealShmoke_Another_One_112Bpm,Tharealshmoke Another One 112Bpm,,D:\project\manipulate-audio\data\originals\ThaRealShmoke_Another_One_112Bpm.wav,data\originals\ThaRealShmoke_Another_One_112Bpm.wav,184.32,44100,1,9a415d039e8e9d91ac27614300ba0c3fe098f689d12466cda559c4c0243af130,test,,
