id,title,url,genre
andygrvcia_onna_leash_Ebm_99,Andygrvcia Onna Leash Ebm 99,D:\project\manipulate-audio\data\originals\andygrvcia_onna_leash_Ebm_99.wav,test
CLUE__AINT_GON_TELL_YA_TWICE_GMIN_140,Clue  Aint Gon Tell Ya Twice Gmin 140,D:\project\manipulate-audio\data\originals\CLUE__AINT_GON_TELL_YA_TWICE_GMIN_140.wav,test
CLUE__DARK_TIMES_CMIN_140,Clue  Dark Times Cmin 140,D:\project\manipulate-audio\data\originals\CLUE__DARK_TIMES_CMIN_140.wav,test
DonKody_Back_It_Up_GMin_100,Donkody Back It Up Gmin 100,D:\project\manipulate-audio\data\originals\DonKody_Back_It_Up_GMin_100.wav,test
DonKody__SlowJam_Bbm_98,Donkody  Slowjam Bbm 98,D:\project\manipulate-audio\data\originals\DonKody__SlowJam_Bbm_98.wav,test
Future_x_Travis_Scott_Type_Beat_last_summer,Future X Travis Scott Type Beat Last Summer,D:\project\manipulate-audio\data\originals\Future_x_Travis_Scott_Type_Beat_last_summer.wav,test
Gunna_x_MetroBoomin_Type_Beat_hard_time_ahead,Gunna X Metroboomin Type Beat Hard Time Ahead,D:\project\manipulate-audio\data\originals\Gunna_x_MetroBoomin_Type_Beat_hard_time_ahead.wav,test
Gunna_x_Wheezy_Type_Beat_overload,Gunna X Wheezy Type Beat Overload,D:\project\manipulate-audio\data\originals\Gunna_x_Wheezy_Type_Beat_overload.wav,test
Lil_Uzi_Vert_x_Nav_Type_beat_back_it_up,Lil Uzi Vert X Nav Type Beat Back It Up,D:\project\manipulate-audio\data\originals\Lil_Uzi_Vert_x_Nav_Type_beat_back_it_up.wav,test
ThaRealShmoke_Another_One_112Bpm,Tharealshmoke Another One 112Bpm,D:\project\manipulate-audio\data\originals\ThaRealShmoke_Another_One_112Bpm.wav,test
